_date,total_clones,unique_clones
2022-03-12,1,1
2022-03-16,8,7
2022-03-20,1,1
2022-03-21,3,3
2022-03-27,1,1
2022-03-28,3,3
2022-04-03,1,1
2022-04-04,1,1
2022-04-10,1,1
2022-04-17,1,1
2022-04-18,1,1
2022-04-24,1,1
2022-04-25,2,2
2022-05-01,1,1
2022-05-02,1,1
2022-05-08,1,1
2022-05-09,2,2
2022-05-11,2,1
2022-05-15,1,1
2022-05-16,3,3
2022-05-22,1,1
2022-05-23,3,3
2022-05-29,1,1
2022-05-30,3,3
2022-06-05,1,1
2022-06-06,1,1
2022-06-12,1,1
2022-06-19,1,1
2022-06-20,2,2
2022-06-26,1,1
2022-06-27,2,2
2022-07-03,1,1
2022-07-10,1,1
2022-07-11,2,2
2022-07-17,1,1
2022-07-18,2,2
2022-07-24,1,1
2022-07-25,3,3
2022-07-29,1,1
2022-07-31,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-07,1,1
2022-08-08,4,4
2022-08-14,1,1
2022-08-15,1,1
2022-08-19,1,1
2022-08-21,1,1
2022-08-22,1,1
2022-08-28,1,1
2022-08-29,2,2
2022-09-04,1,1
2022-09-05,1,1
2022-09-11,1,1
2022-09-18,1,1
2022-09-26,2,2
2022-10-03,1,1
2022-10-10,2,2
2022-10-17,1,1
2022-10-21,1,1
2022-10-24,1,1
2022-10-30,1,1
2022-10-31,1,1
2022-11-06,1,1
2022-11-07,1,1
2022-11-13,2,2
2022-11-17,1,1
2022-11-20,1,1
2022-11-21,2,2
2022-11-27,1,1
2022-11-28,1,1
2022-12-04,1,1
2022-12-05,2,2
2022-12-07,2,1
2022-12-11,1,1
2022-12-12,2,2
2022-12-18,1,1
2022-12-21,1,1
2022-12-25,1,1
2022-12-26,2,2
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,4,2
2023-01-04,1,1
2023-01-08,1,1
2023-01-09,2,2
2023-01-10,1,1
2023-01-15,1,1
2023-01-16,1,1
2023-01-22,1,1
2023-01-23,2,2
2023-01-29,1,1
2023-02-05,1,1
2023-02-12,1,1
2023-02-19,1,1
2023-02-21,1,1
2023-02-25,2,1
2023-02-26,1,1
2023-03-02,3,2
2023-03-05,1,1
2023-03-06,2,2
2023-03-07,2,2
2023-03-12,1,1
2023-03-13,2,1
2023-03-17,1,1
2023-03-19,1,1
2023-03-20,3,2
2023-03-26,1,1
2023-03-27,1,1
2023-04-02,1,1
2023-04-03,1,1
2023-04-09,1,1
2023-04-11,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-18,1,1
2023-04-23,1,1
2023-04-24,4,2
2023-04-30,1,1
2023-05-01,4,3
2023-05-03,1,1
2023-05-07,2,2
2023-05-08,3,2
2023-05-09,1,1
2023-05-14,2,2
2023-05-15,4,3
2023-05-17,1,1
2023-05-21,4,3
2023-05-22,3,2
2023-05-28,3,3
2023-05-29,5,4
2023-05-31,1,1
2023-06-04,2,2
2023-06-05,4,3
2023-06-11,2,2
2023-06-12,3,2
2023-06-18,2,2
2023-06-19,2,1
2023-06-22,2,1
2023-06-25,1,1
2023-06-26,3,2
2023-06-29,2,2
2023-07-02,1,1
2023-07-03,4,3
2023-07-06,1,1
2023-07-09,2,2
2023-07-10,4,3
2023-07-11,2,2
2023-07-13,1,1
2023-07-16,1,1
2023-07-17,3,2
2023-07-23,2,2
